Datetime,Datetime,Actual,Predicted,Error,Residual
2001-05-17 18:00:00,2001-05-17 18:00:00,29835.0,29705.955410992694,129.04458900730606,129.04458900730606
2001-05-17 19:00:00,2001-05-17 19:00:00,29492.0,29346.226125645862,145.77387435413766,145.77387435413766
2001-05-17 20:00:00,2001-05-17 20:00:00,29534.0,29296.44726150217,237.55273849783043,237.55273849783043
2001-05-17 21:00:00,2001-05-17 21:00:00,30284.0,30500.616240708176,-216.6162407081756,-216.6162407081756
2001-05-17 22:00:00,2001-05-17 22:00:00,29449.0,29181.2642626404,267.7357373595987,267.7357373595987
2001-05-17 23:00:00,2001-05-17 23:00:00,27021.0,26833.66604718521,187.3339528147917,187.3339528147917
2001-05-18 00:00:00,2001-05-18 00:00:00,24437.0,24458.15087952497,-21.15087952496833,-21.15087952496833
2001-05-18 01:00:00,2001-05-18 01:00:00,22497.0,22471.641315780318,25.35868421968189,25.35868421968189
2001-05-18 02:00:00,2001-05-18 02:00:00,21534.0,21452.52057219402,81.47942780598169,81.47942780598169
2001-05-18 03:00:00,2001-05-18 03:00:00,20974.0,21047.845781409582,-73.84578140958183,-73.84578140958183
2001-05-18 04:00:00,2001-05-18 04:00:00,20684.0,20814.8444303555,-130.84443035550066,-130.84443035550066
2001-05-18 05:00:00,2001-05-18 05:00:00,21073.0,20901.796167464847,171.2038325351532,171.2038325351532
2001-05-18 06:00:00,2001-05-18 06:00:00,22844.0,22486.854990171996,357.1450098280038,357.1450098280038
2001-05-18 07:00:00,2001-05-18 07:00:00,25971.0,25940.321218641315,30.678781358685228,30.678781358685228
2001-05-18 08:00:00,2001-05-18 08:00:00,28900.0,28545.43969581401,354.5603041859904,354.5603041859904
2001-05-18 09:00:00,2001-05-18 09:00:00,30162.0,29755.904361533772,406.0956384662277,406.0956384662277
2001-05-18 10:00:00,2001-05-18 10:00:00,30627.0,30373.667746189247,253.33225381075317,253.33225381075317
2001-05-18 11:00:00,2001-05-18 11:00:00,31045.0,30926.64819462955,118.35180537045017,118.35180537045017
2001-05-18 12:00:00,2001-05-18 12:00:00,30974.0,31034.38347950502,-60.38347950502066,-60.38347950502066
2001-05-18 13:00:00,2001-05-18 13:00:00,30693.0,30837.395179386793,-144.39517938679273,-144.39517938679273
2001-05-18 14:00:00,2001-05-18 14:00:00,30405.0,30568.10565981535,-163.1056598153482,-163.1056598153482
2001-05-18 15:00:00,2001-05-18 15:00:00,30102.0,30135.102579015278,-33.102579015278025,-33.102579015278025
2001-05-18 16:00:00,2001-05-18 16:00:00,29909.0,29810.27548451894,98.72451548105892,98.72451548105892
2001-05-18 17:00:00,2001-05-18 17:00:00,29735.0,29709.226621988975,25.77337801102476,25.77337801102476
2001-05-18 18:00:00,2001-05-18 18:00:00,29580.0,29497.59564785829,82.40435214171157,82.40435214171157
2001-05-18 19:00:00,2001-05-18 19:00:00,29432.0,29095.77797331448,336.22202668551836,336.22202668551836
2001-05-18 20:00:00,2001-05-18 20:00:00,28792.0,29175.281311606013,-383.28131160601333,-383.28131160601333
2001-05-18 21:00:00,2001-05-18 21:00:00,29305.0,29922.98657721269,-617.9865772126905,-617.9865772126905
2001-05-18 22:00:00,2001-05-18 22:00:00,28820.0,28811.735646521018,8.26435347898223,8.26435347898223
2001-05-18 23:00:00,2001-05-18 23:00:00,26669.0,26483.912529443267,185.08747055673302,185.08747055673302
2001-05-19 00:00:00,2001-05-19 00:00:00,24433.0,24384.601507556326,48.398492443673604,48.398492443673604
2001-05-19 01:00:00,2001-05-19 01:00:00,22555.0,22518.480493909774,36.51950609022606,36.51950609022606
2001-05-19 02:00:00,2001-05-19 02:00:00,21411.0,21310.63751892782,100.36248107218125,100.36248107218125
2001-05-19 03:00:00,2001-05-19 03:00:00,20876.0,20774.309470022534,101.69052997746621,101.69052997746621
